,OperadOR
Aereo el Venado,2
Taxader Airlines,2
Aerovias Contreras,2
Rapid Air Transport,2
Solomon Islands Airlines,2
Southern Airways,2
Holymans Airways,2
Military - Japan Maritime Self Defense Force,2
Orient Airways,2
First Air,2
Military - South African Air Force,2
Military - Congolese Air Force,2
Afghan Army,2
Las Vegas Airlines,2
Savanair,2
Ceskoslovenské Aerolinie,2
Air Rhodesia,2
Air Freight New Zealand,2
Malu Aviation,2
Airborne Express,2
Tracep,2
Saturn Airways,2
Martinair Holland NV,2
Autrex,2
Boeing Aircraft Company,2
Military - Union of Burma Air Force,2
Aerolineas Abaroa,2
Pan American Grace Airlines,2
Syrian Airways,2
Universal Jet Aviation,2
SAM Colombia,2
United Nations,2
China Southwest Airlines,2
VOTEC,2
Military - Polish Air Force,2
Air Afrique,2
Transair Georgia Airlines,2
Merpati Nasantara Airlines,2
Bouraq Indonesia Airlines,2
Loide Aereo Nacional,2
Sociedad Aeronautica Medellin,2
Military - Chilean Air Force,2
Hunting Air Travel,2
Handley Page Transport,2
Military - Royal Saudi Air Force,2
Hewa Bora Airways,2
Military - Portuguese Air Force,2
Mandala Airlines,2
Miami Airlines,2
Aer Lingus,2
Military - Mauritanian Air Force,2
Military - U.S. Air Force / U.S. Air Force,2
Karibu Airways,2
Jamair,2
Air Nautic,2
Kodiak Airways,2
Saha Airline Services,2
Ukraine Air Alliance,2
Chicago and Southern Airlines,2
Douglas Airways,2
Aeronorte Colombia,2
Private charter,2
Military - Sudanese Air Force,2
Jersey Airways,2
Cubana de Aviacon,2
Juba Air Cargo,2
ADES Colombia,2
FedEx,2
Tigres Voladores,2
ATI,2
Military - Myanmar Air Force,2
Air Charter,2
Philippine Aerotransport,2
Trans Continental Air Transport,2
Alyemda,2
Capitol Airways,2
AirNow,2
Yemen Airlines,2
CORAL Colombia,2
Finnair,2
Paraense Transportes Aéreos,2
TAME Ecuador,2
ADC Airlines,2
AREA,2
Union Airways,2
Braniff Airways,2
Military - U.S. Marine Corps/Military - U.S. Marine Corps,2
Military - Zambian Air Force,2
Skyways,2
Austin Airways,2
Military - Royal Belgian Air Force,2
Grand Canyon Airlines,2
Sabah Air,2
Jett Paqueteria SA,2
LAC Colombia,2
Military - Spanish Air Force,2
Lineas Aéreas La Urraca,2
Wheeler Airlines,2
Pilgrim Airlines,2
Pacific Air Lines,2
Military - Italian Air Force,2
Military - Venezuelan Air Force,2
Polynesian Airlines,2
Western Canada Airways,2
Vanair,2
Bali International Air Service,2
Silver City Airways,2
West Caribbean Airways,2
Lineas Aereas Nacionales SA (Peru),2
Eastern Air Transport,2
Emery Worldwide,2
Wiggins Airways,2
Military - US Army,2
Service Air,2
Quebecair,2
Military - Iranian Revolutionary Guard Corps Air Force,2
Riddle Airlines,2
Air Cargo Carriers,2
Military - Azerbaijan Air Force,2
Aerocaribe,2
Military - U.S. Air Force / Military - U.S. Air Force,2
Military - Belgian Air Force,2
United Airways,2
Air Logistics,2
Associated Airways,2
East African Airways,2
Military - United States Navy,2
Cordova Airlines,2
United Air Lines / Trans World Airlines,2
Braathens,2
Military - Honduran Air Force,2
Island Airways,2
Hageland Aviation Services,2
Private Charter,2
Vayudoot,2
Military - United States Air Force,2
Eastern Provincial Airways,2
Pacific Western,2
Eagle Aviation,2
Transamerica Airlines,2
A B Aerotransport,2
Lineas Aereas del Estado,2
SATA,2
Vieques Air Link,2
Skypower Express Airways,2
Ameristar Jet Charter,2
Wien Consolidated Airlines,2
Piedmont Airlines / Private,2
Ameriflight,2
China Southern Airlines,2
Aerovias Brasil,2
Antilles Air,2
CNAC,2
Southwest Air,2
Aerolineas Centrales de Colombia,2
Kenya Airways,2
Satena,2
Vietnam Airlines,2
Pacific Southwest Airlines,2
Military - Venezuelan Army,2
Military - Pakistan Army,2
Military - Georgian Air Force,2
Agni Air,2
Servivensa,2
Aviastar Mandiri,2
Wuhan Airlines,2
Transafrik,2
Pan African Air Charter,2
Royal Air Lao,2
American International Airways,2
Provincetown - Boston Airlines,2
Aerolift,2
National Air Cargo,2
Yakutavia,2
Aden Airways,2
Colonial Western Airlines,2
Military - Imperial Iranian Air Force,2
Queensland Airlines,2
British Midland Airways,2
Military - U.S. Army / Military - U.S. Army,2
Military - Royal Jordanian Air Force,2
Uzbekistan Airways,2
Military - Royal Nepalese Air Force,2
Norwegian Airlines,2
Aero Service,2
Aeroperlas,2
Universal Airlines,2
Trans Service Airlift,2
Military - Mozambique Air Force,2
Air Transport,2
LARES,2
Gulf Air,2
Air Transport Charter,2
TAO,2
Air Mali,2
Air Guadeloupe,2
MK Airlines,2
TAESA,2
SATCO,2
Loftleidir Icelandic Airlines,2
Downeast Airlines,2
Agencia Interamericana de Aviada,2
Indian National Airlines,2
TAN,2
Skyways of London,2
Military - Republic of South Korea Air Force,2
Korean Air,2
Military - Bolivian Air Force,2
Sibir Airlines,2
Crossair,2
British Eagle International Airlines,2
Air Manitoba,2
Lao Aviation,2
Aerolineas Flecha Austral,2
Federal Express,2
China Northern Airlines,2
Sterling Airways,2
Aircraft Transport and Travel,2
DTA Angola Airlines,2
Sakha Airlines,2
Los Angeles Airways,2
Central Air Transport,2
Djibouti Airlines,2
Aerocon,2
Britannia Airways,2
Military - Royal British Navy,2
Airlines of Australia,2
New Tribes Mission,2
Military - United States Army Air Force,2
Lineas Aéreas Nacionales,2
Regina Cargo Airlines,2
Military - Turkish Air Force,2
Military - Royal Indian Air Force,2
Tara Air,2
Expresso Aéreo,2
Salair,2
SAVCO,2
Airfast Services,2
Iran Air Tours,2
Trans Guyana Airways,2
Frontier Airlines,2
Military - Venezuelan Navy,2
China Northwest Airlines,2
Sabang Merauke Raya Air Charter,2
Kamchatka Airlines,2
Egyptair,2
Military - U.S. Navy / Military - U.S. Navy,2
Air Atlas,2
Queen Charlotte Airlines,2
Military - U.S. Army Air Corps,2
Senegalair,2
Trans World Airlines / Private,2
Skyline Airways,2
Airlink,2
General Airways,2
Alas del Sur,1
Necon Air,1
ATI Aircompany,1
Air taxi - Lider Air Taxi,1
Air Taxi - Ohana Helicopter Tours,1
Si Fly - U.N. charter,1
Vologodskiye Airlines,1
Aramco Associated Company,1
Tashkent Aircraft Production Corporation,1
Patuxent Airways / Private,1
Asian Spirit,1
Staer Air,1
Air Memphis,1
Linea Aérea Mexicana de Carga,1
SUDENE,1
Military - Lao People's Liberation Army Air Force,1
Military - Fuerza Aérea Colombiana,1
Avisto,1
Ecuato Guineana de Aviacion,1
HiTech Helicopters,1
Norte Jet Táxi Aéreo,1
Greek Government,1
Military - Fuerza Aérea de Chile,1
Nuna Air,1
Air Taxi - US Helicopters Inc.,1
Propair,1
Ukraine Aviation Transport Company,1
Private - Omniflight Helicopters,1
"LAPA, Lineas Aereas Privadas Argentinas",1
Lionair,1
Military - Centrafricain Airlines,1
Executive Airlines,1
Whyalla Airlines,1
Air Karibu,1
Congo Airline,1
Minerva Airlines,1
Cabo Verde Airlines,1
Bankair,1
ALIANSA Colombia,1
Ghana Airlink,1
Provincial Airlines,1
Air Philippines,1
Manacá Táxi Aéreo,1
Paukn Air,1
Savannair,1
Fuerza Aérea Nicaragua,1
Ararat Avia,1
TanaMana Aviation,1
Uzu Air,1
Living Water Teaching Ministries Charter,1
Kelowna Flightcraft Air Charter,1
Avirex,1
Air Satellite,1
Military - German Air National Guard,1
Servicio Expresso Nacional,1
North Coast Aviation,1
Channel Express,1
Transafrik - United Nations Charter,1
Northern Executive Aviation,1
Price Aircraft Company,1
Zanex,1
Rusts Flying Service Inc.,1
Military - Japanese Air Self-Defence Force,1
Plane Sailing,1
TACV-Cabo Verde Airlines,1
Khors Aircompany,1
Lufthansa Cargo Airlines,1
Harbour Air Seaplanes Ltd.,1
Alliance Airlines,1
Aero Jet Express,1
Air Fiji,1
Proteus Air / Private,1
Permaviatrans,1
Uni Air,1
Military - Ejército del Aire,1
Blue Hawaiian Helicopters,1
Points North Air Services,1
Selva Taxi Aero,1
Swifair,1
Blue Water Aviation Services,1
Alada,1
Frontier Flying Service,1
Vincent Aviation,1
Air Taxi - Coastal Helicopters Inc.,1
Pacific Airways,1
Sky Cabs,1
Allied Air Freight,1
Malindi Air Services,1
Uralex,1
Airwave Transport,1
Indian Airlines/Alliance Airlines,1
Lumbini Airways,1
Speed Service Couriers,1
Military - Sri Lankan Air Force,1
Win Win Aviation,1
Military - Malaysian Air Force,1
LANC Colombia,1
Military - Peruvian Army Aviation,1
Air Luxor,1
Cargo Three Panama,1
Aviaimpex (Macedonia),1
Magistralnye Avialinii,1
Military - Hellenic Air Force,1
Hibiscus Air,1
Everest Air,1
Hornbill Airways,1
Military - Ecuadorean Air Force,1
Carga del Caribe,1
Fiji Air,1
Oeste Linhas Aereas,1
Palair Macedonian,1
Iran Air Tours  /  Military - Iranian Air Force,1
Arctic Wings & Rotors,1
Ryan International Airlines,1
Fuerza Area Angolaise,1
Duncan Aircraft Sales,1
Pan Malaysian Air Transport,1
Titan Airways,1
Lufthansa Cityline,1
Air Taxi - South Coast Helicopters Inc.,1
Libya Arab Airlines / Military -  Libya Air Force,1
