,ac_type
Lockheed L-100 Hercules,3
Cessna 404 Titan,3
Dornier Merkur,3
Tupolev TU-154B-2,3
Ilyushin II-76TD,3
Beechcraft 1900D,3
Travel Air 4000,3
Douglas C-54B-1-DC,3
Dornier Wal,3
Douglas C-124A Globemaster,3
McDonnell Douglas MD-83,3
Fairchild F-27A,3
Boeing Vertol CH-47 (helicopter),3
Airbus A320-211,3
Fairchild FH-227B,3
Boeing B-747-121,3
Consolidated Liberator,3
Bell 206L,3
Fokker F-27 Friendship 400,3
McDonnell Douglas DC-8-63CF,3
Farman F-60 Goliath,3
Embraer 110P Bandeirante,3
Antonov AN-32B,3
Noorduyn Norseman,3
de Havilland Canada C-7A Caribou,3
Antonov AN-26B,3
Beechcraft 1900C,3
Curtiss C-46E,3
Mi-8 helicopter,3
Ilyushin IL-76MD,3
Ilyushin IL-76TD,3
Antonov AN-12B,3
Antonov AN-10,3
Fokker FG III,3
Savoia-Marchetti SM-75,3
Embraer 120ER Brasilia,3
McDonnell Douglas DC-8-61,3
Avro 685 York 1,3
Grumman G-21A Goose,3
Tupolev 154M,3
Antonov AN-10A,3
Bell 407,3
Boeing B-727-64,3
Antonov 26B,3
Focke-Wulf FW 200,3
Latecoere 631 (flying boat),3
Latecoere 26,3
de Havilland DH-114 Heron,3
Boeing B-727-224,3
Fairchild C-119C,3
Antonov AN-8,3
Fairchild Pilgrim 100A,3
Bristol 170 Freighter 21E,3
Antonov 12BK,3
Savoia-Marchetti SM73,3
Britten-Norman BN-2A-26 Trislander,3
Boeing B-727-231,3
CAMS 53,3
Aeroflot,3
Antonov 32,3
Lockheed Vega 5,3
Bristol 170 Freighter 31,3
Yakovlev YAK-42,3
McDonnell Douglas DC-9-15,3
Canadair C-4 Argonaut,3
Antonov An-12BK,3
Convair CV-240-4,3
de Havilland DH-84 Dragon,3
Travel Air 6000,3
Beechcraft E18S,3
de Havilland DH106 Comet 1,3
Boeing B-707-331B,3
Harbin Yunshuji Y-12-II,3
Boeing 95,3
Cessna 402C,3
de Havilland DH-114 Heron 2B,3
Learjet 25,3
SNCASE Languedoc,3
Curtiss C-46A-50-CU,3
Ilyushin 76MD,3
Dornier 228-212,3
Ilyushin IL-14M,3
Embraer EMB-110 Bandeirante,3
McDonnell Douglas DC-10-30CF,3
Yakovlev 40,3
Fairchild C-123,3
Yakovlev YAK-42D,3
Boeing 707-321C,3
de Havilland Canada DHC-6 Twin Otter 310,3
Boeing 707-123,2
Mi-17,2
Bristol 170 Freighter 31E,2
Boeing B-737-3Q8,2
Douglas C-47A-1-DK,2
Learjet 25B,2
ATR-72-212,2
Boeing RC-135E,2
Bell 412,2
Sud Aviation SE-210 Caravelle III,2
Sud-Aviation Caravelle III,2
Handley Page Hastings C-2,2
Douglas DC-47,2
Swearingen SA-227AC Metro III,2
Douglas C-54B-15-DO,2
Vickers 757 Viscount,2
Avro 685 York,2
Britten-Norman BN-2A-27 Islander,2
Lockheed C-69 Constellation,2
Lockheed 1649A Starliner,2
Boeing 377 Stratocruiser 10-26,2
Dassault Falcon 20,2
McDonnell Douglas DC-8-53,2
Vickers Viking 1B,2
Boeing B-727-22,2
Lockheed MC-130H Hercules,2
Britten Norman BN-2A-21 Trislander,2
Convair CV-880,2
Douglas C-124C,2
Convair CV-440-11,2
Let 410,2
Curtiss C-46D-10-CU,2
Lockheed L-049 Constellation,2
Airbus A300B4-622R,2
Avro 691 Lancastrian 1,2
McDonnell Douglas DC-8-21,2
Douglas C-54A-10-DC,2
Saab 340B,2
Yakovlev 42D,2
Vickers 634 Viking 1B,2
EMB 721C Sertanejo,2
Vickers Viscount 837,2
Canadair CRJ-100ER,2
Vickers Viscount 812,2
Antonov 12B,2
Douglas C54A,2
Boeing B-737-4Y0,2
Vickers 785D Viscount,2
Douglas DC-3 (C-47A-90-DL),2
Boeing B-747-122,2
Convair CV-340-58,2
ATR 42-300,2
Embraer 110P1A Bandeirante,2
Antonov An-32B,2
Sikorsky S-61L helicopter,2
Curtiss C-46A-40-CU,2
Douglas DC-7,2
Bell 206B3,2
Lockheed P-3A Orion,2
Convair CV-990-30A-5,2
Fokker F-27 Friendship 500F,2
Douglas C-47-DL (DC-3),2
Lockheed 188C Electra,2
Bristol 170 Freighter 31M,2
Airbus A310-304,2
Harbin Yunshuji Y-12 II,2
Ilyushin 76TD,2
Boeing B-707-437,2
Boeing B-737-3Y0,2
Fairchild C-82A,2
Curtiss C-46D-CU,2
Boeing B-727-81,2
Douglas C-54A-1-DO,2
Sud Aviation SE-210 Caravelle VIN,2
Beechcraft C99,2
de Havilland Canada DHC-8-102,2
Vickers 802 Viscount,2
GAF Nomad N24A,2
Canadair CL-600-2B16 Challenger 604,2
Curtiss C-46E-1-CS,2
Douglas C-47B-15-DK,2
Vickers Viscount 748D,2
Lockheed 749-79-33 Constellation,2
Vickers 628 Viking 1B,2
Antonov 32B,2
Douglas DC-3 / Douglas DC-3,2
Lockheed L-749A Constellation,2
Bristol Britannia 175,2
Curtiss C-46D-15-CU,2
Lockheed WV-2,2
Cessna 421C Golden Eagle,2
Antonov 28,2
Boeing B-737-291,2
Hawker Siddeley HS-125,2
Douglas C-47A-35-DL,2
Boeing B-707-328,2
Vickers Vanguard 951,2
Hindustan Aeronautics 748-2,2
Douglas R5D-3,2
Boeing B-707-123B,2
Avro Shackleton MR-1,2
Learjet 23,2
Antonov An-2R,2
Curtiss C-46 Commando,2
Bristol 170 Freighter,2
Curtiss-Wright C-46,2
BAC One-Eleven 203AE,2
Douglas C-54 Skymaster,2
Douglas C-47A-25-DK,2
McDonnell Douglas DC-8-33,2
Lockheed 1049E Super Constellation,2
Lockheed WV-2 Super Constellation,2
Swearingen SA-226T Metro II,2
Lockheed C-130B,2
Vickers 610 Viking 1B,2
Lockheed L-188CF Electra,2
Tupolev Tu-124,2
Boeing B-707-124,2
